model,store,versions,sale
Apple/苹果 iPhone 11 Pro,苏宁易购官方旗舰店,{'64GB': '8699.00'},1569
Apple/苹果 iPhone XR ,,"{'64GB': '2150.00 - 7100.00', '128GB': '2150.00 - 7100.00', '256GB': '2150.00 - 7100.00'}",1555
vivo U3x,苏宁易购官方旗舰店,"{'3+64GB': '899.00', '4+64GB': '999.00', '3+32GB': '799.00'}",1543
关爱心 A5,关爱心赫尔曼专卖店,{'256MB': '95.00'},1536
honor/荣耀 荣耀8X,苏宁易购官方旗舰店,{'6+64GB': '1099.00'},1528
HUAWEI nova 5i,蓝港数码专营店,"{'6+128GB': '1999.00', '8+128GB': '2199.00'}",1522
Apple/苹果 iPhone6S 16G,数码通讯科技港,"{'16GB': '799.00 - 1570.00', '32GB': '799.00 - 1570.00', '64GB': '799.00 - 1570.00', '128GB': '799.00 - 1570.00'}",1491
vivo X27,vivo官方旗舰店,{'8+128GB': '2498.00'},1470
HUAWEI nova 5i,小淘器数码专营店,"{'6+128GB': '1799.00', '8+128GB': '1999.00'}",1462
honor/荣耀 荣耀NOTE10,荣耀官方旗舰店,"{'6+64GB': '1599.00', '6+128GB': '2099.00', '8+128GB': '2199.00'}",1454
